N,save_power,average_intersection,save_power_*_average_intersection
1,0.0,1.0,0.0
4,0.25,0.5625,0.140625
9,0.4444444444444444,0.30864197530864196,0.1371742112482853
16,0.5625,0.19140625,0.107666015625
25,0.64,0.12960000000000002,0.08294400000000002
36,0.6944444444444444,0.0933641975308642,0.06483624828532236
49,0.7346938775510204,0.07038733860891296,0.05171314673307891
64,0.765625,0.054931640625,0.042057037353515625
81,0.7901234567901234,0.044048163389727175,0.0348034871227474
100,0.81,0.0361,0.029241000000000003
